term,lang,count,files,examples
du,sv,163,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;BreakInPetra.eng.mtf;BustedAtLongsons.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,Hur länge har du ägt det här hotellet? | Känner du till något om det här 'datorministeriet' här i staden? | Mm. Var det något viktigt du undrade?
Jag,sv,141,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Bernd_Arrival.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_AfterStalking.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;BreakInPetra.eng.mtf;BustedAtLongsons.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dave_Arrival.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,Jag lyssnar på dig | Jag tänkte bara säga att jag uppskattar ditt hotell mer och mer | Jag misstänker att någon bröt sig in på mitt rum när jag sov
OK,en,123,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Bernd_Arrival.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;BreakInPetra.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"OK, OK | OK, OK | OK"
Ja,sv,115,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_GamblingTonight.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard1_CasinoNightIsOver.eng.mtf;CasinoGuard2_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"Ja? | Ja, säg det | Ja du..."
har,sv,91,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_TryFindLodge.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;BustedAtLongsons.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dave_Arrival.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,Det är en service att vi alltid har öppet | Hur länge har du ägt det här hotellet? | Säg inte att du har gått och blivit en sån där typ
have,en,80,Babcia_AfterGhostVisit.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_AfterStalking.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;BreakInPetra.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dave_Arrival.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,"How long have you been the owner of this hotel? | You do have a credit card, right | Hmm, I think I must have lost it"
Yes,en,80,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_GamblingTonight.eng.mtf;BreakInPetra.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_CasinoNightIsOver.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"Yes? | Yes? | Yes, exactly"
I'm,en,77,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;BreakInPetra.eng.mtf;CasinoGuard1_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"I'm listening | I just wanted to say that I'm beginning to appreciate your hotel more and more | Nah, I'm just a little curious I guess"
Det,sv,76,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard1_CasinoNightIsOver.eng.mtf;CasinoGuard2_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,Det är mysigt | Det är en service att vi alltid har öppet | Det är allt jag kan säga dig
No,en,74,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_CanSellSoda.eng.mtf;CasinoGuard1_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,"No, never | No, our guests are free to come and go at any time | No, I don't think so"
så,sv,71,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_AfterStalking.eng.mtf;Bob_Arrival.eng.mtf;Bob_TryFindLodge.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_CanSellSoda.eng.mtf;BustedAtLongsons.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard1_CasinoNightIsOver.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"Vad de gör och så? | De gillar att lägga sin näsa i blöt, så mycket är säkert | Varför håller de på så?"
What,en,70,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;BreakInPetra.eng.mtf;BustedAtLongsons.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard1_CasinoNightIsOver.eng.mtf;CasinoGuard2_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;DetectThatFenceIsBroken.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"What's that supposed to mean? | No, certainly not. What kind of nonsense is this? | What they do and so on?"
